nace_r2;geo;n2015
B06;FR92; 
B06;FR93; 
B06;FR94; 
B06;FRA; 
B06;FRA1;0
B06;FRA2;0
B06;FRA3; 
B06;FRA4;0
B06;FRA5; 
B06;FRZ; 
B06;FRZZ; 
B06;HR;8060
B06;HR0;8060
B06;HR03;2594
B06;HR04;5466
B06;HU;68
B06;HU1; 
B06;HU10; 
B06;HU2;0
B06;HU21;0
B06;HU22;0
B06;HU23;0
B06;HU3; 
B06;HU31; 
B06;HU32;0
B06;HU33; 
B06;IE; 
B06;IE0; 
B06;IE01; 
B06;IE02; 
B06;IS;12:00 AM
B06;IS0;12:00 AM
B06;IS00;12:00 AM
B06;IT;4034
B06;ITC;2468
B06;ITC1; 
B06;ITC2;0
B06;ITC3;0
B06;ITC4; 
B06;ITD; 
B06;ITD1; 
B06;ITD2; 
B06;ITD3; 
B06;ITD4; 
B06;ITD5; 
B06;ITE; 
B06;ITE1; 
B06;ITE2; 
B06;ITE3; 
B06;ITE4; 
B06;ITF;497
B06;ITF1; 
B06;ITF2;0
B06;ITF3;0
B06;ITF4; 
B06;ITF5; 
B06;ITF6; 
B06;ITG;381
B06;ITG1;381
B06;ITG2;0
B06;ITH;493
B06;ITH1;0
B06;ITH2;0
B06;ITH3; 
B06;ITH4;0
B06;ITH5; 
B06;ITI;195
B06;ITI1;0
B06;ITI2;0
B06;ITI3; 
B06;ITI4; 
B06;LT;212
B06;LT0;212
B06;LT00;212
B06;LU;0
B06;LU0;0
B06;LU00;0
B06;LV;20
B06;LV0;20
B06;LV00;20
B06;LVZ; 
B06;LVZZ; 
B06;MT;0
B06;MT0;0
B06;MT00;0
B06;NL;3913
B06;NL1;2238
B06;NL11; 
B06;NL12; 
B06;NL13; 
B06;NL2;3
B06;NL21;0
B06;NL22;3
B06;NL23;0
B06;NL3;1666
B06;NL31; 
B06;NL32; 
B06;NL33;1052
B06;NL34; 
B06;NL4;2
B06;NL41; 
B06;NL42; 
B06;NO;26507
B06;NO0;26507
B06;NO01;2457
B06;NO02;0
B06;NO03;2
B06;NO04;17988
B06;NO05;4136
B06;NO06;1114
B06;NO07;810
B06;PL;4264
B06;PL1;219
B06;PL11;0
B06;PL12;219
B06;PL2; 
B06;PL21; 
B06;PL22; d
B06;PL3; d
B06;PL31; d
B06;PL32; d
B06;PL33;0
B06;PL34;0
B06;PL4; d
B06;PL41; d
B06;PL42; d
B06;PL43; d
B06;PL5; d
B06;PL51; d
B06;PL52;0
B06;PL6; d
B06;PL61;0
B06;PL62;0
B06;PL63; d
B06;PT;0
B06;PT1;0
B06;PT11;0
B06;PT15;0
B06;PT16;0
B06;PT17;0
B06;PT18;0
B06;PT2;0
B06;PT20;0
B06;PT3;0
B06;PT30;0
B06;RO;19707
B06;RO1;4997
B06;RO11;1029
B06;RO12;3968
B06;RO2;1861
B06;RO21;179
B06;RO22;1682
B06;RO3;10127
B06;RO31;6737
B06;RO32;3390
B06;RO4;2722
B06;RO41;2366
B06;RO42;356
B06;SE;0
B06;SE1;0
B06;SE11;0
B06;SE12;0
B06;SE2;0
B06;SE21;0
B06;SE22;0
B06;SE23;0
B06;SE3;0
B06;SE31;0
B06;SE32;0
B06;SE33;0
B06;SEZ; 
B06;SEZZ; 
B06;SI; 
B06;SI0; 
B06;SI01; 
B06;SI02; 
B06;SI03; 
B06;SI04;0
B06;SK; 
B06;SK0; 
B06;SK01;0
B06;SK02; 
B06;SK03;0
B06;SK04;0
B06;SKZ; 
B06;SKZZ; 
B06;UK;16718
B06;UKC;193
B06;UKC1; 
B06;UKC2; 
B06;UKD; 
B06;UKD1;0
B06;UKD2; 
B06;UKD3;0
B06;UKD4; 
B06;UKD5; 
B06;UKD6;0
B06;UKD7; 
B06;UKE; 
B06;UKE1; 
B06;UKE2;0
B06;UKE3; 
B06;UKE4; 
B06;UKF;185
B06;UKF1; 
B06;UKF2;0
B06;UKF3; 
B06;UKG; 
B06;UKG1; 
B06;UKG2;0
B06;UKG3;0
B06;UKH;420
B06;UKH1; 
B06;UKH2;0
